breach_type,timestamp,attacker_id,target,prevented,prevention_method,victim_id,attacker_device,insider_id,device_id
lateral_movement,2025-12-11 05:15:58.633442,USER-0050,Project Management,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-11 05:15:58.633617,,,True,"['MFA requirement', 'Device trust validation']",USER-0015,DEV-0012,,
insider_threat,2025-12-11 05:15:58.633832,,Project Management,True,"['Role-based access control', 'Least privilege principle']",,,USER-0001,
device_compromise,2025-12-11 05:15:58.633961,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0012
privilege_escalation,2025-12-11 05:15:58.634094,USER-0001,Financial System,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-11 05:15:58.634301,USER-0014,Financial System,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-11 05:15:58.634384,,,True,"['MFA requirement', 'Device trust validation']",USER-0033,DEV-0018,,
insider_threat,2025-12-11 05:15:58.634492,,Financial System,True,"['Role-based access control', 'Least privilege principle']",,,USER-0022,
device_compromise,2025-12-11 05:15:58.634597,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0054
privilege_escalation,2025-12-11 05:15:58.634716,USER-0045,Customer Database,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-11 05:15:58.634879,USER-0001,Customer Database,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-11 05:15:58.634969,,,True,"['MFA requirement', 'Device trust validation']",USER-0017,DEV-0060,,
insider_threat,2025-12-11 05:15:58.635069,,Customer Database,True,['Authentication failure'],,,USER-0017,
device_compromise,2025-12-11 05:15:58.635174,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0026
privilege_escalation,2025-12-11 05:15:58.635328,USER-0043,HR Portal,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-11 05:15:58.635554,USER-0020,CRM Platform,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-11 05:15:58.635657,,,True,"['MFA requirement', 'Device trust validation']",USER-0023,DEV-0034,,
insider_threat,2025-12-11 05:15:58.635771,,HR Portal,True,"['Role-based access control', 'Least privilege principle']",,,USER-0042,
device_compromise,2025-12-11 05:15:58.635907,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0015
privilege_escalation,2025-12-11 05:15:58.636034,USER-0049,Code Repository,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-11 05:15:58.636239,USER-0042,Video Conferencing,False,[],,,,
credential_theft,2025-12-11 05:15:58.636326,,,False,[],USER-0005,DEV-0061,,
insider_threat,2025-12-11 05:15:58.636436,,CRM Platform,True,"['Role-based access control', 'Least privilege principle']",,,USER-0049,
device_compromise,2025-12-11 05:15:58.636588,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0031
privilege_escalation,2025-12-11 05:15:58.636706,USER-0007,HR Portal,True,"['Access level enforcement', 'Continuous authorization']",,,,
